retailer,title,price_eur,unit_measure,product_url,image_url,canonical_unit,canonical_unit_price
ALDI,Caster Sugar,1.95,1 KG,https://www.aldi.ie/product/the-pantry-caster-sugar-000000000000382607,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/8c13a40e-9352-4e94-a6b1-7f3481b9fc92/Caster%20Sugar,kg,1.95
ALDI,Icing Sugar,0.89,0.5 KG,https://www.aldi.ie/product/the-pantry-icing-sugar-000000000000383404,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/fd826689-3b49-4be3-8856-7307100fd86b/Icing%20Sugar,kg,1.78
ALDI,Granulated Sugar,1.69,1 KG,https://www.aldi.ie/product/the-pantry-granulated-sugar-000000000000384218,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/7f2cac8e-6149-483c-8a4d-5472c7ed54ec/Granulated%20Sugar,kg,1.69
ALDI,Demerara Sugar,0.75,0.5 KG,https://www.aldi.ie/product/the-pantry-demerara-sugar-000000000000388002,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/d9cfab58-e52e-4c6f-8d49-6a4c8e4a5267/Demerara%20Sugar,kg,1.5
ALDI,Light Brown Sugar,0.99,0.5 KG,https://www.aldi.ie/product/the-pantry-light-brown-sugar-000000000000382286,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/d6c5903f-deed-47b9-91a2-8ea075b81f94/Light%20Brown%20Sugar,kg,1.98
ALDI,Dark Brown Sugar,0.99,0.5 KG,https://www.aldi.ie/product/the-pantry-dark-brown-sugar-000000000000447591,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/371a79ed-2839-4ecb-8312-fcc0c5f16af2/Dark%20Brown%20Sugar,kg,1.98
ALDI,Sugar Snap Peas,0.89,0.15 KG,https://www.aldi.ie/product/nature-s-pick-sugar-snap-peas-000000000000340840,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/a0345ed6-af98-4ea7-9664-c50692159fb7/Sugar%20Snap%20Peas,kg,5.933333333333334
ALDI,Plain Sugar Waffles,1.89,5 Each,https://www.aldi.ie/product/bon-appetit-plain-sugar-waffles-000000000531295001,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/d670b080-864e-46e7-91d0-a7e3dc15aa7e/Plain%20Sugar%20Waffles,,
ALDI,Chocolate Sugar Waffles,1.89,5 Each,https://www.aldi.ie/product/bon-appetit-chocolate-sugar-waffles-000000000531295002,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/a593eff3-47e9-4aa5-93b6-39060c86faba/Chocolate%20Sugar%20Waffles,,
ALDI,No Added Sugar Processed Peas,0.68,0.42 KG,https://www.aldi.ie/product/bramwells-no-added-sugar-peas-000000000000336441,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/1b954761-a3a5-4ccc-bf6c-406c39ca4641/No%20Added%20Sugar%20Processed%20Peas,kg,1.6190476190476193
ALDI,Butterscotch Sugar Free Drops,0.99,0.44 KG,https://www.aldi.ie/product/dominion-butterscotch-sugar-free-drops-000000000405184001,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/57dcaea9-fb25-45bc-b0cf-b53c8e399e09/Butterscotch%20Sugar%20Free%20Drops,kg,2.25
ALDI,Strawberry Sugar Free Drops,0.99,0.44 KG,https://www.aldi.ie/product/dominion-strawberry-sugar-free-drops-000000000405184003,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/87fd3ad7-91c4-460c-bb60-c9b275ed5ea1/Strawberry%20Sugar%20Free%20Drops,kg,2.25
ALDI,Cappuccino Sugar Free Drops,0.99,0.44 KG,https://www.aldi.ie/product/dominion-cappuccino-sugar-free-drops-000000000405184004,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/b426273b-c08e-4da3-bc9c-46dbdc3ae9da/Cappuccino%20Sugar%20Free%20Drops,kg,2.25
ALDI,Complimints Sugar Free Peppermint Mints,1.69,0.03 KG,https://www.aldi.ie/product/dominion-complimints-sugar-free-peppermint-mints-000000000404858001,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/b1eadcae-3015-4fea-aef4-07db6a27ef80/Complimints%20Sugar%20Free%20Peppermint%20Mints,kg,56.333333333333336
ALDI,Complimints Sugar Free Strong Mints,1.69,0.03 KG,https://www.aldi.ie/product/dominion-complimints-sugar-free-strong-mints-000000000404858002,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/a24a4154-64bd-44f1-ab2b-dd01d6efcba2/Complimints%20Sugar%20Free%20Strong%20Mints,kg,56.333333333333336
ALDI,Complimints Sugar Free Spearmint Mints,1.69,0.03 KG,https://www.aldi.ie/product/dominion-complimints-sugar-free-spearmint-mints-000000000404858003,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/d85307cf-d16a-485c-a055-36bc24995682/Complimints%20Sugar%20Free%20Spearmint%20Mints,kg,56.333333333333336
ALDI,Rhubarb & Custard Sugar Free Drops,0.99,0.44 KG,https://www.aldi.ie/product/dominion-rhubarb-custard-sugar-free-drops-000000000405184002,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/7c77c1b8-984c-4041-a9b4-ea11888cbb6f/Rhubarb%20%20Custard%20Sugar%20Free%20Drops,kg,2.25
ALDI,Clear Fruits Sugar Free Drops,0.99,0.44 KG,https://www.aldi.ie/product/dominion-clear-fruits-sugar-free-drops-000000000405184005,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/0f0f2880-ed3d-42b8-a343-038593ce7844/Clear%20Fruits%20Sugar%20Free%20Drops,kg,2.25
ALDI,Clear Mints Sugar Free Drops,0.99,0.44 KG,https://www.aldi.ie/product/dominion-clear-mints-sugar-free-drops-000000000405184006,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/76dbb9c3-da46-4fcb-844d-81765a3dda22/Clear%20Mints%20Sugar%20Free%20Drops,kg,2.25
ALDI,Sugar Free Lemon Sherbet Sweets,0.89,0.07 KG,https://www.aldi.ie/product/dominion-sugar-free-lemon-sherbet-sweets-000000000405391001,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/9274053c-b50b-40ea-ad4a-e88dfafc7949/Sugar%20Free%20Lemon%20Sherbet%20Sweets,kg,12.714285714285714
ALDI,Sugar Free Cola Sherbet Sweets,0.89,0.07 KG,https://www.aldi.ie/product/dominion-sugar-free-cola-sherbet-sweets-000000000405391002,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/83b0bd60-d548-44db-b86c-871188ce1b28/Sugar%20Free%20Cola%20Sherbet%20Sweets,kg,12.714285714285714
ALDI,Complimints Sugar Free Strawberry & Peach Flavour,1.69,0.03 KG,https://www.aldi.ie/product/dominion-complimints-sugar-free-strawberry-peach-flavour-000000000404858004,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/2f2b57d7-7b0d-446b-b7d9-77d3e81968c5/Complimints%20Sugar%20Free%20Strawberry%20%20Peach%20Flavour,kg,56.333333333333336
