name,category,lat,lon
Upshoots,cafe,53.2778249,-6.2110045
China Sichuan,restaurant,53.2780787,-6.2107338
Chipper,fast_food,53.2765478,-6.2241272
,convenience,53.2762809,-6.2243161
Crystal Bar,bar,53.2766878,-6.2205303
My Thai,restaurant,53.2763437,-6.2206135
Ollie's Lounge & Bar,pub,53.2767305,-6.2240158
Kasturi,restaurant,53.3561303,-6.4483421
Annadale Cottage - Chinese Restaurant,restaurant,53.3553926,-6.4604099
Bank of Ireland,bank,53.3572731,-6.4502285
Centra,convenience,53.3565948,-6.4507068
Permanent TSB,bank,53.3567845,-6.4505182
East End,fast_food,53.3588336,-6.4463395
Chang's Asian Cuisine,restaurant,53.3560074,-6.4482391
China Town,fast_food,53.3563147,-6.4484966
Ryan’s Village Cafe,cafe,53.3563813,-6.4488485
Rapeedo's,fast_food,53.356332,-6.449529
Ball Alley House,pub,53.3554596,-6.4546703
The Cake Cafe,cafe,53.3344161,-6.266138
Lidl,supermarket,53.2775076,-6.2649649
Sadlier Bar,pub,53.4169718,-6.4777387
Macari's,fast_food,53.4189412,-6.4737476
Macari's,fast_food,53.4103213,-6.4409173
Domino's,fast_food,53.3956352,-6.4398015
Apache Pizza,fast_food,53.3888647,-6.3894828
Blue Bird Cafe,cafe,53.3063029,-6.2218114
Four Star Pizza,fast_food,53.340775,-6.3079219
Insomnia,cafe,53.3399203,-6.3078868
The South Strand,pub,53.3443491,-6.2381779
Spar,supermarket,53.3469287,-6.2822456
Domino's,fast_food,53.3528127,-6.4599892
Spar,convenience,53.3519961,-6.4620828
Spar,convenience,53.3415263,-6.4516033
McDonald's,fast_food,53.3486952,-6.4529661
Dominican College,college,53.3013603,-6.1896359
Froebel College of Education,university,53.3012006,-6.1890789
The Hut,pub,53.3610075,-6.2725355
R. McSorley’s,pub,53.3233007,-6.2500808
Ranelagh Take Away,fast_food,53.3251131,-6.2556068
Spar,convenience,53.3440194,-6.2646888
Eddie Rocket's,fast_food,53.344278,-6.266599
Spar,convenience,53.4286454,-6.3746235
Bank of Ireland,atm,53.3451751,-6.2594538
Bank of Ireland,atm,53.3450501,-6.2594046
AIB,atm,53.3454268,-6.2632214
AIB,atm,53.3454297,-6.2631141
The Quays Bar,bar,53.3456434,-6.2633552
Gallagher's Boxty House,restaurant,53.3456973,-6.2621275
Yamamori Izakaya,restaurant,53.3433143,-6.2642339
,restaurant,53.3431063,-6.2642212
Charlie's Malay & Chinese Cafe,fast_food,53.3435547,-6.2642498
Krust Bakery,bakery,53.3436458,-6.2642558
Acapulco,restaurant,53.3436104,-6.2642538
Bear Markt Coffee,cafe,53.3438151,-6.2642572
RongCheng,fast_food,53.3331323,-6.2436143
Insomnia,cafe,53.3509444,-6.252515
Martin B. Slattery,pub,53.3221545,-6.26589
Tempura House,restaurant,53.322786,-6.265438
74 Talbot,pub,53.350879,-6.2529113
McDonald's,fast_food,53.3236155,-6.2652982
Ranelagh & District Credit Union Limited,bank,53.3251999,-6.2555244
Rasoi,fast_food,53.3253274,-6.2553632
Punjab Balti,restaurant,53.3257334,-6.2554889
Emerald Court,fast_food,53.3258464,-6.2557084
Pinocchio,restaurant,53.3262746,-6.2560478
Corrigan’s,pub,53.3275519,-6.2616703
,atm,53.3216018,-6.2662168
Green Italia,fast_food,53.3208079,-6.2656197
3fe The Triangle,cafe,53.3250841,-6.2547901
Tesco Express,convenience,53.3157666,-6.2652815
Apache,fast_food,53.3162668,-6.2654202
Fothergill's Delicatessen,bakery,53.3163902,-6.2654123
Birchall’s,pub,53.3233904,-6.2503391
AIB,bank,53.27737,-6.2065725
Stage Door,cafe,53.3452169,-6.2659194
Falafel and Kebab,restaurant,53.3452048,-6.2660061
Al Vesuvio,restaurant,53.3448713,-6.2651292
Charlie's II Oriental Express,fast_food,53.3451234,-6.2656467
Poppadom,restaurant,53.3839785,-6.3678409
Campo de Fiori Risto Market,convenience,53.2030055,-6.0988592
The Palm,pub,53.2018386,-6.098109
Benny's Chinese Restaurant,restaurant,53.2056244,-6.1104052
Macari's,fast_food,53.2045962,-6.1095048
Liz Anne's,cafe,53.2038055,-6.1095129
Molloy's,cafe,53.204744,-6.1066609
Tesco Express,convenience,53.4448133,-6.2439371
FXB Steakhouse,restaurant,53.3372963,-6.2518677
Bear Mrkt,cafe,53.3373678,-6.251787
Dax,restaurant,53.3348107,-6.2545351
The Schoolhouse,restaurant,53.3372822,-6.2393224
Roly's,restaurant,53.3294409,-6.2322092
Café Java,cafe,53.3303311,-6.2320816
Four Star Pizza,fast_food,53.3302743,-6.2320835
The French Paradox,restaurant,53.3302062,-6.2320857
Baan Thai,restaurant,53.3289879,-6.2301808
Insomnia,cafe,53.3291315,-6.2306229
Al Boschetto,restaurant,53.3292426,-6.2309146
Maia,restaurant,53.3303836,-6.2320798
International Supermarket,supermarket,53.3508594,-6.2656271
McDonald's,fast_food,53.2895286,-6.1996251
Spar,convenience,53.3373609,-6.2728113
Peadar Browns,pub,53.3362336,-6.2734533
